# 260205_15:02:13.277687
t	CH1	CH2
0.000000e+00	-3.175523e-03	-2.482713e+00
1.000000e-08	8.338394e-04	-2.525818e+00
2.000000e-08	-2.245843e-03	-2.548441e+00
3.000000e-08	1.409799e-03	-2.537874e+00
4.000000e-08	-3.627052e-03	-2.557345e+00
5.000000e-08	5.510013e-04	-2.608973e+00
6.000000e-08	-1.698604e-03	-2.609976e+00
7.000000e-08	9.054362e-04	-2.610001e+00
8.000000e-08	-2.543513e-03	-2.601479e+00
9.000000e-08	-7.657657e-04	-2.652580e+00
1.000000e-07	-8.792889e-04	-2.642583e+00
1.100000e-07	-3.742757e-04	-2.686165e+00
1.200000e-07	-2.440026e-03	-2.704190e+00
1.300000e-07	-6.445331e-04	-2.728838e+00
1.400000e-07	-2.706926e-04	-2.746795e+00
1.500000e-07	-4.695478e-04	-2.735393e+00
1.600000e-07	-9.177644e-04	-2.778845e+00
1.700000e-07	-5.961643e-04	-2.759424e+00
1.800000e-07	2.151006e-04	-2.749500e+00
1.900000e-07	-9.676841e-04	-2.789975e+00
2.000000e-07	-5.106900e-04	-2.800499e+00
2.100000e-07	-1.991589e-03	-2.799526e+00
2.200000e-07	-1.135721e-03	-2.810004e+00
2.300000e-07	-1.321184e-03	-2.811530e+00
2.400000e-07	3.708163e-04	-2.831601e+00
2.500000e-07	-1.265073e-03	-2.840604e+00
2.600000e-07	-3.498778e-04	-2.842060e+00
2.700000e-07	-2.166345e-04	-2.862059e+00
2.800000e-07	-1.545896e-04	-2.844288e+00
2.900000e-07	-1.641910e-03	-2.865144e+00
3.000000e-07	-4.194546e-04	-2.915265e+00
3.100000e-07	-1.141660e-03	-2.954893e+00
3.200000e-07	-1.985974e-04	-2.958947e+00
3.300000e-07	-1.651796e-03	-2.988020e+00
3.400000e-07	-7.831482e-04	-2.998926e+00
3.500000e-07	-1.122615e-03	-3.040033e+00
3.600000e-07	2.716774e-04	-3.052583e+00
3.700000e-07	-1.016441e-03	-3.092732e+00
3.800000e-07	-9.855001e-04	-3.073637e+00
3.900000e-07	-1.087933e-03	-3.045240e+00
4.000000e-07	1.735579e-04	-3.137213e+00
4.100000e-07	-1.306500e-03	-3.146791e+00
4.200000e-07	-1.525015e-03	-3.137845e+00
4.300000e-07	-5.579128e-04	-3.147917e+00
4.400000e-07	-4.359929e-04	-3.168946e+00
4.500000e-07	-5.925364e-04	-3.198971e+00
4.600000e-07	-1.031228e-03	-3.169499e+00
4.700000e-07	1.304399e-04	-3.167474e+00
4.800000e-07	-1.045245e-03	-3.189925e+00
4.900000e-07	-7.829456e-04	-3.188974e+00
