# Temperatura_=_20.0
# Concentracion g/m^3_=_9000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135479.5793908226

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.939811e-06	-5.029135e-09	-5.691807e+01	-3.229862e+02
1.000000e-08	-7.940063e-06	-5.028218e-09	-5.691987e+01	-3.232195e+02
2.000000e-08	-7.939964e-06	-5.026043e-09	-5.691916e+01	-3.234942e+02
3.000000e-08	-7.939343e-06	-5.027925e-09	-5.691471e+01	-3.238089e+02
4.000000e-08	-7.937936e-06	-5.031120e-09	-5.690462e+01	-3.241607e+02
5.000000e-08	-7.935758e-06	-5.030168e-09	-5.688901e+01	-3.245453e+02
6.000000e-08	-7.932861e-06	-5.028944e-09	-5.686824e+01	-3.249567e+02
7.000000e-08	-7.929391e-06	-5.030113e-09	-5.684336e+01	-3.253879e+02
8.000000e-08	-7.925576e-06	-5.023067e-09	-5.681602e+01	-3.258307e+02
9.000000e-08	-7.921398e-06	-5.002866e-09	-5.678607e+01	-3.262758e+02
1.000000e-07	-7.916674e-06	-5.004172e-09	-5.675220e+01	-3.267130e+02
1.100000e-07	-7.911062e-06	-5.051181e-09	-5.671197e+01	-3.271317e+02
1.200000e-07	-7.904438e-06	-5.095299e-09	-5.666448e+01	-3.275208e+02
1.300000e-07	-7.897107e-06	-5.050737e-09	-5.661193e+01	-3.278691e+02
1.400000e-07	-7.889477e-06	-4.931762e-09	-5.655723e+01	-3.281655e+02
1.500000e-07	-7.881689e-06	-4.956676e-09	-5.650140e+01	-3.283995e+02
1.600000e-07	-7.873578e-06	-5.137931e-09	-5.644326e+01	-3.285610e+02
1.700000e-07	-7.864880e-06	-5.149928e-09	-5.638091e+01	-3.286410e+02
1.800000e-07	-7.855506e-06	-4.969619e-09	-5.631371e+01	-3.286316e+02
1.900000e-07	-7.845314e-06	-4.925221e-09	-5.624064e+01	-3.285261e+02
2.000000e-07	-7.834251e-06	-5.031305e-09	-5.616134e+01	-3.283194e+02
2.100000e-07	-7.822693e-06	-5.117831e-09	-5.607848e+01	-3.280080e+02
2.200000e-07	-7.810721e-06	-5.112009e-09	-5.599266e+01	-3.275902e+02
2.300000e-07	-7.797995e-06	-4.992946e-09	-5.590143e+01	-3.270660e+02
2.400000e-07	-7.784607e-06	-4.904384e-09	-5.580546e+01	-3.264373e+02
2.500000e-07	-7.770877e-06	-5.062243e-09	-5.570703e+01	-3.257077e+02
2.600000e-07	-7.756361e-06	-5.199225e-09	-5.560297e+01	-3.248827e+02
2.700000e-07	-7.740687e-06	-4.960933e-09	-5.549060e+01	-3.239692e+02
2.800000e-07	-7.724242e-06	-4.709690e-09	-5.537271e+01	-3.229758e+02
2.900000e-07	-7.707358e-06	-4.808414e-09	-5.525168e+01	-3.219123e+02
3.000000e-07	-7.689980e-06	-4.849904e-09	-5.512710e+01	-3.207898e+02
3.100000e-07	-7.672078e-06	-4.575272e-09	-5.499877e+01	-3.196200e+02
3.200000e-07	-7.653809e-06	-4.457847e-09	-5.486780e+01	-3.184156e+02
3.300000e-07	-7.635038e-06	-4.624810e-09	-5.473324e+01	-3.171895e+02
3.400000e-07	-7.615641e-06	-4.646741e-09	-5.459419e+01	-3.159548e+02
3.500000e-07	-7.595848e-06	-4.573236e-09	-5.445230e+01	-3.147245e+02
3.600000e-07	-7.575695e-06	-4.613679e-09	-5.430783e+01	-3.135112e+02
3.700000e-07	-7.555082e-06	-4.540395e-09	-5.416006e+01	-3.123269e+02
3.800000e-07	-7.533996e-06	-4.466974e-09	-5.400890e+01	-3.111828e+02
3.900000e-07	-7.512463e-06	-4.631578e-09	-5.385454e+01	-3.100889e+02
4.000000e-07	-7.490243e-06	-4.686108e-09	-5.369525e+01	-3.090543e+02
4.100000e-07	-7.467329e-06	-4.465075e-09	-5.353099e+01	-3.080863e+02
4.200000e-07	-7.444013e-06	-4.446942e-09	-5.336384e+01	-3.071910e+02
4.300000e-07	-7.420359e-06	-4.681146e-09	-5.319427e+01	-3.063730e+02
4.400000e-07	-7.396231e-06	-4.686725e-09	-5.302131e+01	-3.056350e+02
4.500000e-07	-7.371372e-06	-4.481447e-09	-5.284310e+01	-3.049783e+02
4.600000e-07	-7.345885e-06	-4.493930e-09	-5.266039e+01	-3.044026e+02
4.700000e-07	-7.319893e-06	-4.656941e-09	-5.247406e+01	-3.039060e+02
4.800000e-07	-7.293224e-06	-4.638866e-09	-5.228288e+01	-3.034852e+02
4.900000e-07	-7.265852e-06	-4.515209e-09	-5.208666e+01	-3.031357e+02
5.000000e-07	-7.238001e-06	-4.517344e-09	-5.188701e+01	-3.028516e+02
5.100000e-07	-7.209787e-06	-4.587435e-09	-5.168475e+01	-3.026263e+02
