# Temperatura_=_20.0
# Concentracion g/m^3_=_9000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_212890.11040027835

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.286605e-06	-3.953122e-09	-1.666612e+00	-2.582771e+02
1.000000e-08	-5.285957e-06	-3.954193e-09	-1.666408e+00	-2.582621e+02
2.000000e-08	-5.284111e-06	-3.953673e-09	-1.665826e+00	-2.582264e+02
3.000000e-08	-5.281185e-06	-3.952746e-09	-1.664903e+00	-2.581702e+02
4.000000e-08	-5.277485e-06	-3.952360e-09	-1.663737e+00	-2.580947e+02
5.000000e-08	-5.273024e-06	-3.951579e-09	-1.662331e+00	-2.580013e+02
6.000000e-08	-5.267667e-06	-3.951407e-09	-1.660642e+00	-2.578923e+02
7.000000e-08	-5.261379e-06	-3.947622e-09	-1.658660e+00	-2.577704e+02
8.000000e-08	-5.254268e-06	-3.955801e-09	-1.656418e+00	-2.576386e+02
9.000000e-08	-5.246301e-06	-3.972387e-09	-1.653906e+00	-2.575002e+02
1.000000e-07	-5.237103e-06	-3.975293e-09	-1.651007e+00	-2.573584e+02
1.100000e-07	-5.226527e-06	-3.939026e-09	-1.647673e+00	-2.572161e+02
1.200000e-07	-5.214952e-06	-3.899530e-09	-1.644023e+00	-2.570760e+02
1.300000e-07	-5.202572e-06	-3.932507e-09	-1.640121e+00	-2.569399e+02
1.400000e-07	-5.189304e-06	-3.983100e-09	-1.635938e+00	-2.568091e+02
1.500000e-07	-5.175161e-06	-3.911460e-09	-1.631479e+00	-2.566836e+02
1.600000e-07	-5.160092e-06	-3.905172e-09	-1.626729e+00	-2.565627e+02
1.700000e-07	-5.143756e-06	-3.921600e-09	-1.621579e+00	-2.564446e+02
1.800000e-07	-5.126353e-06	-3.880427e-09	-1.616092e+00	-2.563263e+02
1.900000e-07	-5.108486e-06	-3.965372e-09	-1.610460e+00	-2.562041e+02
2.000000e-07	-5.089932e-06	-3.955255e-09	-1.604611e+00	-2.560736e+02
2.100000e-07	-5.070329e-06	-3.832935e-09	-1.598431e+00	-2.559298e+02
2.200000e-07	-5.049872e-06	-3.858704e-09	-1.591982e+00	-2.557673e+02
2.300000e-07	-5.028744e-06	-3.966649e-09	-1.585321e+00	-2.555808e+02
2.400000e-07	-5.006663e-06	-3.901845e-09	-1.578360e+00	-2.553653e+02
2.500000e-07	-4.983627e-06	-3.845249e-09	-1.571098e+00	-2.551163e+02
2.600000e-07	-4.959905e-06	-3.895941e-09	-1.563619e+00	-2.548301e+02
2.700000e-07	-4.935402e-06	-3.906897e-09	-1.555895e+00	-2.545039e+02
2.800000e-07	-4.909821e-06	-3.898479e-09	-1.547831e+00	-2.541359e+02
2.900000e-07	-4.883062e-06	-3.857172e-09	-1.539395e+00	-2.537258e+02
3.000000e-07	-4.855414e-06	-3.853955e-09	-1.530679e+00	-2.532742e+02
3.100000e-07	-4.827004e-06	-3.859195e-09	-1.521722e+00	-2.527830e+02
3.200000e-07	-4.797738e-06	-3.821191e-09	-1.512496e+00	-2.522551e+02
3.300000e-07	-4.767622e-06	-3.854371e-09	-1.503002e+00	-2.516942e+02
3.400000e-07	-4.736751e-06	-3.862554e-09	-1.493270e+00	-2.511045e+02
3.500000e-07	-4.705142e-06	-3.762042e-09	-1.483305e+00	-2.504908e+02
3.600000e-07	-4.672723e-06	-3.784024e-09	-1.473085e+00	-2.498577e+02
3.700000e-07	-4.639519e-06	-3.867228e-09	-1.462617e+00	-2.492096e+02
3.800000e-07	-4.605238e-06	-3.784905e-09	-1.451810e+00	-2.485504e+02
3.900000e-07	-4.569825e-06	-3.715834e-09	-1.440646e+00	-2.478835e+02
4.000000e-07	-4.533714e-06	-3.788588e-09	-1.429262e+00	-2.472112e+02
4.100000e-07	-4.496974e-06	-3.796713e-09	-1.417680e+00	-2.465347e+02
4.200000e-07	-4.459396e-06	-3.714800e-09	-1.405833e+00	-2.458545e+02
4.300000e-07	-4.420871e-06	-3.722626e-09	-1.393688e+00	-2.451697e+02
4.400000e-07	-4.381629e-06	-3.742516e-09	-1.381317e+00	-2.444786e+02
4.500000e-07	-4.341941e-06	-3.698180e-09	-1.368805e+00	-2.437787e+02
4.600000e-07	-4.301647e-06	-3.686267e-09	-1.356102e+00	-2.430669e+02
4.700000e-07	-4.260402e-06	-3.699760e-09	-1.343100e+00	-2.423395e+02
4.800000e-07	-4.218053e-06	-3.674999e-09	-1.329749e+00	-2.415929e+02
4.900000e-07	-4.174774e-06	-3.635765e-09	-1.316106e+00	-2.408234e+02
5.000000e-07	-4.130894e-06	-3.640116e-09	-1.302272e+00	-2.400275e+02
5.100000e-07	-4.086420e-06	-3.646464e-09	-1.288252e+00	-2.392022e+02
5.200000e-07	-4.041242e-06	-3.608975e-09	-1.274009e+00	-2.383454e+02
5.300000e-07	-3.995356e-06	-3.581134e-09	-1.259544e+00	-2.374552e+02
5.400000e-07	-3.948712e-06	-3.583461e-09	-1.244839e+00	-2.365309e+02
5.500000e-07	-3.901475e-06	-3.576746e-09	-1.229947e+00	-2.355723e+02
5.600000e-07	-3.853741e-06	-3.546896e-09	-1.214899e+00	-2.345798e+02
5.700000e-07	-3.805146e-06	-3.527584e-09	-1.199580e+00	-2.335545e+02
5.800000e-07	-3.755374e-06	-3.525846e-09	-1.183889e+00	-2.324977e+02
5.900000e-07	-3.704640e-06	-3.502772e-09	-1.167895e+00	-2.314109e+02
6.000000e-07	-3.653200e-06	-3.478627e-09	-1.151678e+00	-2.302957e+02
6.100000e-07	-3.601001e-06	-3.472092e-09	-1.135222e+00	-2.291535e+02
6.200000e-07	-3.548181e-06	-3.454897e-09	-1.118571e+00	-2.279854e+02
6.300000e-07	-3.494795e-06	-3.426376e-09	-1.101741e+00	-2.267918e+02
