# Configuracion:
# Concentracion g/m^3_=_9000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_300879.6967123728
# 
Resultados:
# tau_ns_=_(6.88+/-0.09)e+01
# dphi_rad_=_6.41+/-0.00
# SAR_W/g_=_437.74+/-4.84
# Hc_kA/m_=_6.89+/-0.06
# Mr_A/m_=_218.88+/-0.71
# Magnetizacion_max_emu/g_=_64.28+/-0.18
# Suceptibilidad_a_M=0_=_(3.851+/-0.042)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_100dA_100Mss_bobN1NE0008.txt		20.00	218.74	6.99	38460.00	577.00	3.008165e+05	4.468517e+01	6.416057e+00	447.84	70.701327	4654	3.760e-02
300kHz_100dA_100Mss_bobN1NE0009.txt		20.00	218.90	6.99	38460.00	575.10	3.008812e+05	4.454622e+01	6.415786e+00	445.64	70.555633	4653	3.788e-02
300kHz_100dA_100Mss_bobN1NE0010.txt		20.00	218.81	6.93	38460.00	579.36	3.008812e+05	4.488395e+01	6.413014e+00	439.69	69.063223	4653	3.826e-02
300kHz_100dA_100Mss_bobN1NE0011.txt		20.00	218.56	6.95	38460.00	577.98	3.008812e+05	4.476299e+01	6.413146e+00	438.95	69.134500	4653	3.805e-02
300kHz_100dA_100Mss_bobN1NE0012.txt		20.00	219.99	6.95	38460.00	580.71	3.008812e+05	4.494224e+01	6.414135e+00	444.04	69.666979	4653	3.829e-02
300kHz_100dA_100Mss_bobN1NE0013.txt		20.00	220.18	6.97	38460.00	577.53	3.008165e+05	4.476989e+01	6.414853e+00	444.65	70.053562	4654	3.813e-02
300kHz_100dA_100Mss_bobN1NE0014.txt		20.00	219.25	6.94	38460.00	576.16	3.008165e+05	4.467300e+01	6.413666e+00	439.71	69.415078	4654	3.813e-02
300kHz_100dA_100Mss_bobN1NE0015.txt		20.00	219.03	6.93	38460.00	575.69	3.008165e+05	4.466599e+01	6.413453e+00	438.93	69.300587	4654	3.820e-02
300kHz_100dA_100Mss_bobN1NE0016.txt		20.00	219.77	6.92	38460.00	578.90	3.008812e+05	4.487149e+01	6.413429e+00	440.96	69.286879	4653	3.833e-02
300kHz_100dA_100Mss_bobN1NE0017.txt		20.00	219.57	6.93	38460.00	577.09	3.008812e+05	4.471935e+01	6.413704e+00	440.39	69.434917	4653	3.830e-02
300kHz_100dA_100Mss_bobN1NE0018.txt		20.00	219.38	6.90	38460.00	578.16	3.008165e+05	4.484790e+01	6.412656e+00	438.04	68.872044	4654	3.860e-02
300kHz_100dA_100Mss_bobN1NE0019.txt		20.00	219.40	6.95	38460.00	578.32	3.008812e+05	4.481685e+01	6.414036e+00	442.47	69.614441	4653	3.803e-02
300kHz_100dA_100Mss_bobN1NE0020.txt		20.00	219.06	6.90	38460.00	577.24	3.008165e+05	4.478496e+01	6.412761e+00	437.77	68.929212	4654	3.845e-02
300kHz_100dA_100Mss_bobN1NE0021.txt		20.00	219.45	6.89	38460.00	578.14	3.008165e+05	4.483920e+01	6.412703e+00	438.11	68.898471	4654	3.864e-02
300kHz_100dA_100Mss_bobN1NE0022.txt		20.00	218.63	6.88	38460.00	577.03	3.008812e+05	4.474304e+01	6.412295e+00	435.89	68.678441	4653	3.831e-02
