# Temperatura_=_20.0
# Concentracion g/m^3_=_12600.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_134920.75655126237

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-2.612033e-06	-1.332008e-09	-1.983135e+01	-8.823140e+01
1.000000e-08	-2.612247e-06	-1.360900e-09	-1.983297e+01	-8.816893e+01
2.000000e-08	-2.612299e-06	-1.403845e-09	-1.983337e+01	-8.808998e+01
3.000000e-08	-2.612254e-06	-1.417358e-09	-1.983302e+01	-8.799464e+01
4.000000e-08	-2.612115e-06	-1.328419e-09	-1.983197e+01	-8.788319e+01
5.000000e-08	-2.611813e-06	-1.188633e-09	-1.982968e+01	-8.775604e+01
6.000000e-08	-2.611313e-06	-1.095866e-09	-1.982588e+01	-8.761380e+01
7.000000e-08	-2.610702e-06	-1.152794e-09	-1.982124e+01	-8.745719e+01
8.000000e-08	-2.609969e-06	-1.300569e-09	-1.981568e+01	-8.728712e+01
9.000000e-08	-2.609004e-06	-1.424033e-09	-1.980835e+01	-8.710461e+01
1.000000e-07	-2.607746e-06	-1.472893e-09	-1.979880e+01	-8.691080e+01
1.100000e-07	-2.606239e-06	-1.388042e-09	-1.978736e+01	-8.670694e+01
1.200000e-07	-2.604512e-06	-1.337928e-09	-1.977425e+01	-8.649437e+01
1.300000e-07	-2.602519e-06	-1.299482e-09	-1.975911e+01	-8.627447e+01
1.400000e-07	-2.600166e-06	-1.278948e-09	-1.974125e+01	-8.604869e+01
1.500000e-07	-2.597410e-06	-1.253785e-09	-1.972033e+01	-8.581844e+01
1.600000e-07	-2.594381e-06	-1.321854e-09	-1.969733e+01	-8.558518e+01
1.700000e-07	-2.591080e-06	-1.334016e-09	-1.967227e+01	-8.535030e+01
1.800000e-07	-2.587534e-06	-1.301424e-09	-1.964534e+01	-8.511511e+01
1.900000e-07	-2.583800e-06	-1.252986e-09	-1.961700e+01	-8.488088e+01
2.000000e-07	-2.579996e-06	-1.248744e-09	-1.958811e+01	-8.464875e+01
2.100000e-07	-2.576152e-06	-1.277793e-09	-1.955893e+01	-8.441972e+01
2.200000e-07	-2.572149e-06	-1.304864e-09	-1.952854e+01	-8.419468e+01
2.300000e-07	-2.568010e-06	-1.320206e-09	-1.949712e+01	-8.397435e+01
2.400000e-07	-2.563839e-06	-1.287110e-09	-1.946544e+01	-8.375928e+01
2.500000e-07	-2.559538e-06	-1.289830e-09	-1.943279e+01	-8.354985e+01
2.600000e-07	-2.555051e-06	-1.289886e-09	-1.939872e+01	-8.334626e+01
2.700000e-07	-2.550484e-06	-1.332435e-09	-1.936405e+01	-8.314854e+01
2.800000e-07	-2.545691e-06	-1.312837e-09	-1.932766e+01	-8.295655e+01
2.900000e-07	-2.540588e-06	-1.285288e-09	-1.928891e+01	-8.276999e+01
3.000000e-07	-2.535316e-06	-1.252468e-09	-1.924889e+01	-8.258839e+01
3.100000e-07	-2.529854e-06	-1.285850e-09	-1.920742e+01	-8.241115e+01
3.200000e-07	-2.524183e-06	-1.301533e-09	-1.916436e+01	-8.223755e+01
3.300000e-07	-2.518403e-06	-1.300647e-09	-1.912048e+01	-8.206678e+01
3.400000e-07	-2.512512e-06	-1.260938e-09	-1.907576e+01	-8.189791e+01
3.500000e-07	-2.506530e-06	-1.245229e-09	-1.903033e+01	-8.172998e+01
3.600000e-07	-2.500390e-06	-1.268269e-09	-1.898372e+01	-8.156198e+01
3.700000e-07	-2.494028e-06	-1.305414e-09	-1.893541e+01	-8.139290e+01
3.800000e-07	-2.487469e-06	-1.288896e-09	-1.888562e+01	-8.122170e+01
3.900000e-07	-2.480661e-06	-1.225673e-09	-1.883393e+01	-8.104739e+01
4.000000e-07	-2.473618e-06	-1.207238e-09	-1.878046e+01	-8.086905e+01
4.100000e-07	-2.466403e-06	-1.261742e-09	-1.872568e+01	-8.068578e+01
4.200000e-07	-2.459076e-06	-1.305416e-09	-1.867005e+01	-8.049678e+01
4.300000e-07	-2.451641e-06	-1.251468e-09	-1.861360e+01	-8.030136e+01
4.400000e-07	-2.444014e-06	-1.191533e-09	-1.855570e+01	-8.009892e+01
4.500000e-07	-2.436199e-06	-1.225165e-09	-1.849636e+01	-7.988895e+01
4.600000e-07	-2.428268e-06	-1.302166e-09	-1.843615e+01	-7.967109e+01
4.700000e-07	-2.420252e-06	-1.283064e-09	-1.837529e+01	-7.944508e+01
4.800000e-07	-2.412141e-06	-1.206743e-09	-1.831371e+01	-7.921077e+01
4.900000e-07	-2.403936e-06	-1.192983e-09	-1.825141e+01	-7.896812e+01
5.000000e-07	-2.395612e-06	-1.256357e-09	-1.818822e+01	-7.871720e+01
5.100000e-07	-2.387143e-06	-1.269959e-09	-1.812391e+01	-7.845815e+01
5.200000e-07	-2.378497e-06	-1.212031e-09	-1.805827e+01	-7.819120e+01
5.300000e-07	-2.369627e-06	-1.170034e-09	-1.799093e+01	-7.791665e+01
5.400000e-07	-2.360545e-06	-1.196960e-09	-1.792198e+01	-7.763484e+01
5.500000e-07	-2.351180e-06	-1.227880e-09	-1.785087e+01	-7.734615e+01
5.600000e-07	-2.341487e-06	-1.214572e-09	-1.777728e+01	-7.705097e+01
5.700000e-07	-2.331563e-06	-1.178410e-09	-1.770193e+01	-7.674971e+01
5.800000e-07	-2.321480e-06	-1.163692e-09	-1.762538e+01	-7.644275e+01
5.900000e-07	-2.311204e-06	-1.172798e-09	-1.754736e+01	-7.613045e+01
6.000000e-07	-2.300594e-06	-1.190244e-09	-1.746681e+01	-7.581314e+01
6.100000e-07	-2.289649e-06	-1.185211e-09	-1.738371e+01	-7.549110e+01
6.200000e-07	-2.278466e-06	-1.155056e-09	-1.729881e+01	-7.516455e+01
6.300000e-07	-2.267101e-06	-1.132682e-09	-1.721252e+01	-7.483367e+01
6.400000e-07	-2.255540e-06	-1.148361e-09	-1.712475e+01	-7.449854e+01
6.500000e-07	-2.243801e-06	-1.168782e-09	-1.703562e+01	-7.415922e+01
6.600000e-07	-2.231957e-06	-1.149193e-09	-1.694570e+01	-7.381568e+01
6.700000e-07	-2.220002e-06	-1.109452e-09	-1.685493e+01	-7.346783e+01
6.800000e-07	-2.207879e-06	-1.102331e-09	-1.676289e+01	-7.311555e+01
6.900000e-07	-2.195586e-06	-1.125005e-09	-1.666955e+01	-7.275866e+01
7.000000e-07	-2.183109e-06	-1.131607e-09	-1.657482e+01	-7.239695e+01
7.100000e-07	-2.170439e-06	-1.103682e-09	-1.647863e+01	-7.203019e+01
7.200000e-07	-2.157634e-06	-1.070173e-09	-1.638142e+01	-7.165813e+01
7.300000e-07	-2.144649e-06	-1.071337e-09	-1.628283e+01	-7.128053e+01
7.400000e-07	-2.131511e-06	-1.099916e-09	-1.618308e+01	-7.089715e+01
7.500000e-07	-2.118274e-06	-1.107870e-09	-1.608258e+01	-7.050780e+01
7.600000e-07	-2.104849e-06	-1.073000e-09	-1.598066e+01	-7.011230e+01
7.700000e-07	-2.091245e-06	-1.044005e-09	-1.587737e+01	-6.971053e+01
7.800000e-07	-2.077522e-06	-1.064471e-09	-1.577318e+01	-6.930241e+01
7.900000e-07	-2.063665e-06	-1.094451e-09	-1.566797e+01	-6.888793e+01
8.000000e-07	-2.049605e-06	-1.071443e-09	-1.556123e+01	-6.846715e+01
8.100000e-07	-2.035360e-06	-1.024051e-09	-1.545307e+01	-6.804020e+01
8.200000e-07	-2.021034e-06	-1.019371e-09	-1.534431e+01	-6.760725e+01
8.300000e-07	-2.006614e-06	-1.049823e-09	-1.523482e+01	-6.716858e+01
8.400000e-07	-1.991929e-06	-1.048718e-09	-1.512333e+01	-6.672450e+01
8.500000e-07	-1.977006e-06	-1.010862e-09	-1.501003e+01	-6.627539e+01
8.600000e-07	-1.961934e-06	-9.906286e-10	-1.489560e+01	-6.582166e+01
8.700000e-07	-1.946762e-06	-1.011431e-09	-1.478041e+01	-6.536380e+01
8.800000e-07	-1.931428e-06	-1.027792e-09	-1.466399e+01	-6.490229e+01
8.900000e-07	-1.915696e-06	-1.006649e-09	-1.454455e+01	-6.443765e+01
9.000000e-07	-1.899697e-06	-9.756067e-10	-1.442308e+01	-6.397038e+01
9.100000e-07	-1.883678e-06	-9.719827e-10	-1.430146e+01	-6.350100e+01
9.200000e-07	-1.867479e-06	-9.815247e-10	-1.417847e+01	-6.302998e+01
9.300000e-07	-1.851016e-06	-9.754386e-10	-1.405347e+01	-6.255778e+01
9.400000e-07	-1.834337e-06	-9.537391e-10	-1.392684e+01	-6.208481e+01
9.500000e-07	-1.817495e-06	-9.441301e-10	-1.379897e+01	-6.161140e+01
9.600000e-07	-1.800620e-06	-9.516748e-10	-1.367085e+01	-6.113786e+01
9.700000e-07	-1.783661e-06	-9.532821e-10	-1.354210e+01	-6.066439e+01
9.800000e-07	-1.766500e-06	-9.405580e-10	-1.341180e+01	-6.019113e+01
9.900000e-07	-1.749223e-06	-9.262116e-10	-1.328063e+01	-5.971813e+01
1.000000e-06	-1.731936e-06	-9.200101e-10	-1.314939e+01	-5.924538e+01
1.010000e-06	-1.714571e-06	-9.156768e-10	-1.301755e+01	-5.877276e+01
1.020000e-06	-1.697025e-06	-9.066787e-10	-1.288433e+01	-5.830010e+01
1.030000e-06	-1.679391e-06	-8.974524e-10	-1.275044e+01	-5.782715e+01
1.040000e-06	-1.661739e-06	-8.932947e-10	-1.261642e+01	-5.735358e+01
1.050000e-06	-1.643950e-06	-8.903272e-10	-1.248137e+01	-5.687903e+01
1.060000e-06	-1.626108e-06	-8.825271e-10	-1.234590e+01	-5.640306e+01
1.070000e-06	-1.608244e-06	-8.739159e-10	-1.221027e+01	-5.592524e+01
1.080000e-06	-1.590242e-06	-8.716160e-10	-1.207360e+01	-5.544507e+01
1.090000e-06	-1.572106e-06	-8.667400e-10	-1.193590e+01	-5.496206e+01
1.100000e-06	-1.553861e-06	-8.534115e-10	-1.179738e+01	-5.447572e+01
1.110000e-06	-1.535480e-06	-8.390544e-10	-1.165783e+01	-5.398556e+01
1.120000e-06	-1.516972e-06	-8.315644e-10	-1.151731e+01	-5.349113e+01
1.130000e-06	-1.498339e-06	-8.225139e-10	-1.137585e+01	-5.299200e+01
1.140000e-06	-1.479596e-06	-8.090147e-10	-1.123354e+01	-5.248776e+01
1.150000e-06	-1.460745e-06	-7.972464e-10	-1.109042e+01	-5.197808e+01
1.160000e-06	-1.441722e-06	-7.945743e-10	-1.094599e+01	-5.146266e+01
1.170000e-06	-1.422524e-06	-7.939973e-10	-1.080024e+01	-5.094127e+01
1.180000e-06	-1.403171e-06	-7.861447e-10	-1.065330e+01	-5.041373e+01
1.190000e-06	-1.383748e-06	-7.738702e-10	-1.050584e+01	-4.987991e+01
1.200000e-06	-1.364206e-06	-7.642062e-10	-1.035747e+01	-4.933975e+01
1.210000e-06	-1.344538e-06	-7.597615e-10	-1.020814e+01	-4.879322e+01
1.220000e-06	-1.324857e-06	-7.496022e-10	-1.005871e+01	-4.824037e+01
1.230000e-06	-1.305143e-06	-7.313649e-10	-9.909043e+00	-4.768126e+01
1.240000e-06	-1.285367e-06	-7.174446e-10	-9.758896e+00	-4.711599e+01
1.250000e-06	-1.265511e-06	-7.134994e-10	-9.608144e+00	-4.654471e+01
1.260000e-06	-1.245602e-06	-7.107857e-10	-9.456989e+00	-4.596755e+01
1.270000e-06	-1.225677e-06	-7.017575e-10	-9.305711e+00	-4.538469e+01
1.280000e-06	-1.205729e-06	-6.903120e-10	-9.154264e+00	-4.479626e+01
1.290000e-06	-1.185739e-06	-6.822220e-10	-9.002491e+00	-4.420244e+01
1.300000e-06	-1.165697e-06	-6.755079e-10	-8.850328e+00	-4.360334e+01
1.310000e-06	-1.145619e-06	-6.667564e-10	-8.697890e+00	-4.299910e+01
1.320000e-06	-1.125546e-06	-6.564125e-10	-8.545488e+00	-4.238980e+01
1.330000e-06	-1.105463e-06	-6.470525e-10	-8.393013e+00	-4.177551e+01
1.340000e-06	-1.085352e-06	-6.381695e-10	-8.240325e+00	-4.115627e+01
1.350000e-06	-1.065213e-06	-6.268176e-10	-8.087421e+00	-4.053207e+01
1.360000e-06	-1.044999e-06	-6.173776e-10	-7.933950e+00	-3.990291e+01
1.370000e-06	-1.024713e-06	-6.109810e-10	-7.779929e+00	-3.926871e+01
1.380000e-06	-1.004449e-06	-6.028359e-10	-7.626085e+00	-3.862943e+01
