# 260210_12:20:21.533436
t	CH1	CH2
0.000000e+00	-3.860521e-04	-6.789451e+00
1.000000e-08	-2.258834e-03	-6.841129e+00
2.000000e-08	2.114621e-03	-6.839604e+00
3.000000e-08	7.681036e-03	-6.871684e+00
4.000000e-08	7.038189e-03	-6.863233e+00
5.000000e-08	-1.803757e-03	-6.894846e+00
6.000000e-08	-1.222312e-03	-6.994822e+00
7.000000e-08	3.571019e-03	-6.978374e+00
8.000000e-08	8.077936e-03	-7.019044e+00
9.000000e-08	3.297309e-03	-7.061609e+00
1.000000e-07	-1.758564e-03	-7.123736e+00
1.100000e-07	1.542748e-03	-7.114190e+00
1.200000e-07	6.562288e-03	-7.144367e+00
1.300000e-07	6.154348e-03	-7.188445e+00
1.400000e-07	2.955894e-03	-7.168392e+00
1.500000e-07	-1.172219e-03	-7.166473e+00
1.600000e-07	2.379015e-03	-7.166946e+00
1.700000e-07	3.897545e-03	-7.177971e+00
1.800000e-07	3.403184e-03	-7.218973e+00
1.900000e-07	2.811804e-03	-7.180499e+00
2.000000e-07	-2.135919e-03	-7.190002e+00
2.100000e-07	3.909823e-03	-7.219946e+00
2.200000e-07	6.370811e-03	-7.190526e+00
2.300000e-07	5.248920e-03	-7.209103e+00
2.400000e-07	1.595863e-03	-7.179053e+00
2.500000e-07	-3.417190e-04	-7.200024e+00
2.600000e-07	5.770756e-03	-7.210478e+00
2.700000e-07	4.353169e-03	-7.220004e+00
2.800000e-07	3.449938e-03	-7.229051e+00
2.900000e-07	5.904721e-04	-7.219974e+00
3.000000e-07	1.454762e-03	-7.199476e+00
3.100000e-07	6.804401e-03	-7.197976e+00
3.200000e-07	5.524043e-03	-7.197971e+00
3.300000e-07	2.233872e-03	-7.187371e+00
3.400000e-07	1.170860e-03	-7.165872e+00
3.500000e-07	3.010629e-03	-7.157219e+00
3.600000e-07	7.346098e-03	-7.125815e+00
3.700000e-07	3.827913e-03	-7.155315e+00
3.800000e-07	2.755285e-03	-7.094164e+00
3.900000e-07	3.557389e-03	-7.053237e+00
4.000000e-07	3.579945e-03	-7.011959e+00
4.100000e-07	5.367969e-03	-7.019523e+00
4.200000e-07	3.315579e-03	-6.906845e+00
4.300000e-07	4.787001e-03	-6.906844e+00
4.400000e-07	1.944540e-03	-6.874163e+00
4.500000e-07	3.654649e-03	-6.881604e+00
4.600000e-07	6.733877e-03	-6.831104e+00
4.700000e-07	3.263611e-03	-6.810575e+00
4.800000e-07	3.360485e-03	-6.788973e+00
4.900000e-07	2.324109e-03	-6.758372e+00
5.000000e-07	4.823691e-03	-6.767841e+00
5.100000e-07	5.824529e-03	-6.705642e+00
5.200000e-07	1.144763e-03	-6.694257e+00
5.300000e-07	4.931824e-03	-6.651555e+00
5.400000e-07	3.531633e-03	-6.601026e+00
5.500000e-07	5.225882e-03	-6.590397e+00
5.600000e-07	3.785319e-03	-6.547843e+00
5.700000e-07	3.352921e-03	-6.495713e+00
5.800000e-07	3.205224e-03	-6.473162e+00
5.900000e-07	2.794472e-03	-6.440078e+00
6.000000e-07	3.370550e-03	-6.407500e+00
6.100000e-07	3.119093e-03	-6.396921e+00
6.200000e-07	2.970437e-03	-6.306842e+00
6.300000e-07	3.360270e-03	-6.271712e+00
6.400000e-07	2.797660e-03	-6.198926e+00
6.500000e-07	2.898864e-03	-6.095166e+00
6.600000e-07	4.583218e-03	-6.072004e+00
6.700000e-07	2.622592e-03	-6.011478e+00
6.800000e-07	3.432246e-03	-5.988950e+00
6.900000e-07	9.623721e-05	-5.956318e+00
7.000000e-07	3.521425e-03	-5.884736e+00
7.100000e-07	8.804621e-04	-5.840074e+00
7.200000e-07	2.917986e-03	-5.758021e+00
7.300000e-07	5.695708e-04	-5.674661e+00
7.400000e-07	1.889597e-03	-5.653555e+00
7.500000e-07	1.641014e-03	-5.599951e+00
7.600000e-07	3.005567e-03	-5.545772e+00
7.700000e-07	1.185357e-03	-5.515689e+00
7.800000e-07	1.674217e-03	-5.389978e+00
7.900000e-07	-3.786890e-05	-5.315162e+00
8.000000e-07	1.870277e-03	-5.211503e+00
8.100000e-07	-1.072053e-05	-5.157919e+00
8.200000e-07	1.548199e-04	-5.076162e+00
8.300000e-07	1.675916e-04	-5.031528e+00
8.400000e-07	9.290967e-04	-4.988972e+00
8.500000e-07	1.079346e-03	-4.874037e+00
8.600000e-07	-1.863012e-04	-4.714872e+00
8.700000e-07	-5.887003e-04	-4.683199e+00
8.800000e-07	-7.756944e-05	-4.592558e+00
8.900000e-07	-6.606329e-04	-4.557471e+00
9.000000e-07	3.201745e-04	-4.514207e+00
9.100000e-07	-8.900159e-04	-4.400504e+00
9.200000e-07	-2.807380e-04	-4.409397e+00
9.300000e-07	-9.387600e-04	-4.296312e+00
9.400000e-07	-8.333728e-05	-4.233079e+00
9.500000e-07	-1.491063e-05	-4.169448e+00
9.600000e-07	-1.065807e-03	-4.106239e+00
9.700000e-07	-1.902098e-03	-4.020076e+00
9.800000e-07	-7.137952e-04	-3.989325e+00
9.900000e-07	-5.686558e-05	-3.863788e+00
1.000000e-06	-7.711472e-04	-3.736822e+00
1.010000e-06	-2.168584e-03	-3.645079e+00
1.020000e-06	-2.234852e-03	-3.601500e+00
1.030000e-06	-6.758828e-04	-3.556845e+00
1.040000e-06	-1.253975e-03	-3.443556e+00
1.050000e-06	-1.200167e-03	-3.387896e+00
1.060000e-06	-2.111740e-03	-3.295663e+00
1.070000e-06	-1.982003e-03	-3.221049e+00
1.080000e-06	-1.523464e-03	-3.139822e+00
1.090000e-06	-1.580968e-03	-3.043563e+00
1.100000e-06	-2.264453e-03	-2.898615e+00
1.110000e-06	-2.879759e-03	-2.811553e+00
1.120000e-06	-1.930438e-03	-2.759422e+00
1.130000e-06	-2.136021e-03	-2.646686e+00
1.140000e-06	-2.111033e-03	-2.590426e+00
1.150000e-06	-2.530419e-03	-2.506639e+00
1.160000e-06	-3.172479e-03	-2.430527e+00
1.170000e-06	-2.432905e-03	-2.378895e+00
1.180000e-06	-2.855664e-03	-2.295217e+00
1.190000e-06	-3.126145e-03	-2.108845e+00
1.200000e-06	-2.856198e-03	-2.043529e+00
1.210000e-06	-3.122595e-03	-1.989374e+00
1.220000e-06	-3.189101e-03	-1.845136e+00
1.230000e-06	-3.219506e-03	-1.799948e+00
1.240000e-06	-2.665406e-03	-1.706215e+00
1.250000e-06	-2.699196e-03	-1.613005e+00
1.260000e-06	-4.076136e-03	-1.569346e+00
1.270000e-06	-3.786009e-03	-1.444100e+00
1.280000e-06	-4.146546e-03	-1.337712e+00
1.290000e-06	-3.586598e-03	-1.191444e+00
1.300000e-06	-3.879301e-03	-1.096187e+00
1.310000e-06	-4.221750e-03	-9.803764e-01
1.320000e-06	-3.670738e-03	-8.857385e-01
1.330000e-06	-3.791768e-03	-8.400764e-01
1.340000e-06	-4.215088e-03	-7.678213e-01
1.350000e-06	-4.242547e-03	-6.640055e-01
1.360000e-06	-5.133733e-03	-5.807121e-01
1.370000e-06	-3.962097e-03	-4.120025e-01
1.380000e-06	-3.919293e-03	-3.283687e-01
1.390000e-06	-5.019472e-03	-2.541041e-01
1.400000e-06	-5.274798e-03	-1.594962e-01
1.410000e-06	-4.422777e-03	-9.575677e-02
1.420000e-06	-2.803678e-03	-3.097638e-02
1.430000e-06	-1.525184e-03	6.168277e-02
1.440000e-06	-1.083108e-03	1.973508e-01
1.450000e-06	-1.990043e-03	2.838669e-01
1.460000e-06	-2.770948e-03	4.174999e-01
1.470000e-06	-4.193963e-03	4.426827e-01
1.480000e-06	-3.524368e-03	5.364209e-01
1.490000e-06	5.650238e-04	6.306802e-01
1.500000e-06	1.238304e-02	7.248682e-01
1.510000e-06	3.443082e-02	8.200998e-01
1.520000e-06	1.181841e-02	9.253682e-01
1.530000e-06	-4.416599e-02	1.101757e+00
1.540000e-06	-8.082728e-02	1.189050e+00
1.550000e-06	-4.809986e-03	1.291134e+00
1.560000e-06	9.606713e-02	1.357994e+00
1.570000e-06	-1.823523e-03	1.481084e+00
1.580000e-06	-5.815411e-02	1.494794e+00
1.590000e-06	-6.328589e-03	1.627159e+00
1.600000e-06	-2.497741e-02	1.829524e+00
1.610000e-06	1.337798e-02	1.820534e+00
1.620000e-06	1.139670e-01	1.875316e+00
1.630000e-06	-1.571873e-02	2.018600e+00
1.640000e-06	-9.135284e-02	2.071790e+00
1.650000e-06	1.004296e-01	2.187002e+00
1.660000e-06	7.849864e-02	2.241609e+00
1.670000e-06	-7.166100e-02	2.335872e+00
1.680000e-06	-5.211234e-02	2.429600e+00
1.690000e-06	-3.585235e-04	2.565292e+00
1.700000e-06	3.604233e-02	2.598555e+00
1.710000e-06	3.236293e-02	2.724371e+00
1.720000e-06	-4.518636e-02	2.788630e+00
1.730000e-06	-3.714485e-02	2.853813e+00
1.740000e-06	2.430797e-02	2.968025e+00
1.750000e-06	2.513486e-03	3.062711e+00
1.760000e-06	8.253682e-03	3.136372e+00
1.770000e-06	1.015015e-02	3.208000e+00
1.780000e-06	-5.304045e-02	3.302212e+00
1.790000e-06	-1.185870e-02	3.365976e+00
1.800000e-06	5.113056e-02	3.491819e+00
1.810000e-06	-1.895267e-03	3.579027e+00
1.820000e-06	-3.789809e-02	3.661659e+00
1.830000e-06	-1.533855e-02	3.716398e+00
1.840000e-06	1.716943e-02	3.798578e+00
1.850000e-06	1.131219e-02	3.914765e+00
1.860000e-06	-1.004006e-02	3.996474e+00
1.870000e-06	-1.555061e-02	4.059154e+00
1.880000e-06	-1.361916e-02	4.113261e+00
1.890000e-06	6.647880e-03	4.207581e+00
1.900000e-06	3.906183e-03	4.314792e+00
1.910000e-06	-4.652291e-03	4.417048e+00
1.920000e-06	-1.238412e-02	4.461657e+00
1.930000e-06	-1.601247e-02	4.544242e+00
1.940000e-06	7.933714e-03	4.607054e+00
1.950000e-06	9.134786e-03	4.660138e+00
1.960000e-06	-1.394900e-02	4.745870e+00
1.970000e-06	-1.158105e-02	4.788026e+00
1.980000e-06	-4.831336e-03	4.840186e+00
1.990000e-06	8.758080e-04	4.995901e+00
2.000000e-06	-5.606843e-03	5.088762e+00
2.010000e-06	-5.517693e-03	5.197946e+00
2.020000e-06	-6.757589e-03	5.232155e+00
2.030000e-06	-1.252066e-02	5.313792e+00
2.040000e-06	-1.102822e-03	5.347052e+00
2.050000e-06	2.659148e-03	5.410584e+00
2.060000e-06	-5.532387e-03	5.492295e+00
2.070000e-06	-1.258924e-02	5.535918e+00
2.080000e-06	-1.105575e-02	5.609104e+00
2.090000e-06	2.894385e-03	5.679611e+00
2.100000e-06	4.883782e-05	5.672769e+00
2.110000e-06	-8.356785e-03	5.756479e+00
2.120000e-06	-1.396361e-02	5.879688e+00
2.130000e-06	-6.673042e-03	5.975369e+00
2.140000e-06	4.613197e-03	6.008526e+00
2.150000e-06	-2.627378e-03	6.031079e+00
2.160000e-06	-1.359146e-02	6.121712e+00
2.170000e-06	-1.032363e-02	6.144342e+00
2.180000e-06	-3.820289e-03	6.206351e+00
2.190000e-06	-5.636306e-04	6.217604e+00
2.200000e-06	-8.762816e-03	6.280112e+00
2.210000e-06	-9.697497e-03	6.324315e+00
2.220000e-06	-8.323004e-03	6.376344e+00
2.230000e-06	-5.398298e-03	6.417552e+00
2.240000e-06	-1.539481e-03	6.421603e+00
2.250000e-06	-5.679363e-03	6.491629e+00
2.260000e-06	-8.930818e-03	6.482868e+00
2.270000e-06	-9.789984e-03	6.576400e+00
2.280000e-06	-6.321206e-03	6.600504e+00
2.290000e-06	-2.521666e-03	6.669209e+00
2.300000e-06	-7.508955e-03	6.714217e+00
2.310000e-06	-1.030360e-02	6.746342e+00
2.320000e-06	-9.702916e-03	6.767475e+00
2.330000e-06	-5.034447e-03	6.800553e+00
2.340000e-06	-1.465622e-03	6.840604e+00
2.350000e-06	-8.129691e-03	6.851109e+00
2.360000e-06	-9.547558e-03	6.843259e+00
2.370000e-06	-8.696440e-03	6.882741e+00
2.380000e-06	-2.896205e-03	6.914845e+00
2.390000e-06	-2.507556e-03	6.955272e+00
2.400000e-06	-9.370775e-03	6.976874e+00
2.410000e-06	-1.108514e-02	7.008975e+00
2.420000e-06	-7.592752e-03	7.020503e+00
2.430000e-06	-1.757069e-03	7.050983e+00
2.440000e-06	-5.295021e-03	7.070562e+00
2.450000e-06	-1.108594e-02	7.122213e+00
2.460000e-06	-9.724487e-03	7.114241e+00
2.470000e-06	-5.491223e-03	7.154344e+00
2.480000e-06	-5.307401e-03	7.124771e+00
2.490000e-06	-7.236785e-03	7.125770e+00
2.500000e-06	-1.098284e-02	7.164395e+00
2.510000e-06	-8.582138e-03	7.157345e+00
2.520000e-06	-7.364156e-03	7.168948e+00
2.530000e-06	-3.894059e-03	7.177350e+00
2.540000e-06	-7.703739e-03	7.176550e+00
2.550000e-06	-9.108089e-03	7.227498e+00
2.560000e-06	-9.231241e-03	7.187373e+00
2.570000e-06	-5.957408e-03	7.181427e+00
2.580000e-06	-5.725330e-03	7.195950e+00
2.590000e-06	-8.649914e-03	7.198002e+00
2.600000e-06	-1.173721e-02	7.169474e+00
2.610000e-06	-8.712781e-03	7.208449e+00
2.620000e-06	-6.428827e-03	7.155874e+00
2.630000e-06	-5.582248e-03	7.178426e+00
2.640000e-06	-9.952825e-03	7.178900e+00
2.650000e-06	-9.600159e-03	7.166871e+00
2.660000e-06	-5.986032e-03	7.187449e+00
2.670000e-06	-4.874388e-03	7.136894e+00
2.680000e-06	-7.614124e-03	7.124841e+00
2.690000e-06	-1.039860e-02	7.136767e+00
2.700000e-06	-1.111586e-02	7.125820e+00
2.710000e-06	-8.273836e-03	7.094195e+00
2.720000e-06	-7.134631e-03	7.103163e+00
2.730000e-06	-8.215375e-03	7.083089e+00
2.740000e-06	-1.100791e-02	7.071083e+00
2.750000e-06	-9.852404e-03	7.021054e+00
2.760000e-06	-8.356423e-03	7.018973e+00
2.770000e-06	-6.899443e-03	6.977451e+00
2.780000e-06	-9.041773e-03	6.957295e+00
2.790000e-06	-1.081905e-02	6.937316e+00
2.800000e-06	-9.986151e-03	6.904286e+00
2.810000e-06	-8.234194e-03	6.883137e+00
2.820000e-06	-8.204930e-03	6.833109e+00
2.830000e-06	-1.002865e-02	6.821555e+00
2.840000e-06	-1.021011e-02	6.789050e+00
2.850000e-06	-8.499671e-03	6.777399e+00
2.860000e-06	-7.899527e-03	6.738950e+00
2.870000e-06	-8.384037e-03	6.736269e+00
2.880000e-06	-9.529378e-03	6.684685e+00
2.890000e-06	-1.093279e-02	6.680008e+00
2.900000e-06	-9.489048e-03	6.566846e+00
2.910000e-06	-8.808420e-03	6.523770e+00
2.920000e-06	-8.284560e-03	6.501058e+00
2.930000e-06	-9.626435e-03	6.411530e+00
2.940000e-06	-1.028542e-02	6.399525e+00
2.950000e-06	-7.534993e-03	6.356871e+00
2.960000e-06	-7.142702e-03	6.354821e+00
2.970000e-06	-9.137923e-03	6.302141e+00
2.980000e-06	-9.290535e-03	6.261607e+00
2.990000e-06	-8.956794e-03	6.210402e+00
3.000000e-06	-7.667203e-03	6.167396e+00
3.010000e-06	-7.802964e-03	6.116211e+00
3.020000e-06	-8.815031e-03	6.052159e+00
3.030000e-06	-8.927093e-03	6.010028e+00
3.040000e-06	-6.978232e-03	5.969924e+00
3.050000e-06	-6.857362e-03	5.928771e+00
3.060000e-06	-7.470765e-03	5.881039e+00
3.070000e-06	-8.110813e-03	5.738426e+00
3.080000e-06	-7.179792e-03	5.722608e+00
3.090000e-06	-7.008422e-03	5.630528e+00
3.100000e-06	-7.489369e-03	5.567424e+00
3.110000e-06	-7.688656e-03	5.557745e+00
3.120000e-06	-7.484372e-03	5.463664e+00
3.130000e-06	-7.480176e-03	5.390454e+00
3.140000e-06	-6.791085e-03	5.367920e+00
3.150000e-06	-5.972888e-03	5.314209e+00
3.160000e-06	-6.316267e-03	5.250504e+00
3.170000e-06	-6.652927e-03	5.126772e+00
3.180000e-06	-6.370387e-03	5.050959e+00
3.190000e-06	-6.466853e-03	4.954771e+00
3.200000e-06	-5.708299e-03	4.821556e+00
3.210000e-06	-6.034025e-03	4.788450e+00
3.220000e-06	-6.629521e-03	4.755647e+00
3.230000e-06	-6.542852e-03	4.672110e+00
3.240000e-06	-5.618184e-03	4.599551e+00
3.250000e-06	-5.227235e-03	4.506642e+00
3.260000e-06	-5.906305e-03	4.462629e+00
3.270000e-06	-5.507265e-03	4.389000e+00
3.280000e-06	-5.298741e-03	4.355349e+00
3.290000e-06	-5.726423e-03	4.301086e+00
3.300000e-06	-5.472466e-03	4.157267e+00
3.310000e-06	-5.194144e-03	4.061482e+00
3.320000e-06	-6.104888e-03	3.968973e+00
3.330000e-06	-5.114908e-03	3.915214e+00
3.340000e-06	-4.241103e-03	3.842526e+00
3.350000e-06	-4.462437e-03	3.736421e+00
3.360000e-06	-6.330870e-03	3.684138e+00
3.370000e-06	-5.056524e-03	3.610982e+00
3.380000e-06	-5.041704e-03	3.558395e+00
3.390000e-06	-4.480108e-03	3.485010e+00
3.400000e-06	-5.537831e-03	3.337167e+00
3.410000e-06	-5.235890e-03	3.222530e+00
3.420000e-06	-4.571468e-03	3.169296e+00
3.430000e-06	-5.056613e-03	3.086140e+00
3.440000e-06	-4.627293e-03	3.000005e+00
3.450000e-06	-4.390383e-03	2.935744e+00
3.460000e-06	-4.320848e-03	2.843030e+00
3.470000e-06	-3.881408e-03	2.778922e+00
3.480000e-06	-4.851649e-03	2.717840e+00
3.490000e-06	-4.609344e-03	2.571974e+00
3.500000e-06	-4.653568e-03	2.446058e+00
3.510000e-06	-3.605748e-03	2.369373e+00
3.520000e-06	-5.307536e-03	2.316187e+00
3.530000e-06	-4.762758e-03	2.220524e+00
3.540000e-06	-3.365331e-03	2.106769e+00
3.550000e-06	-2.751454e-03	2.042553e+00
3.560000e-06	-3.932113e-03	1.959875e+00
3.570000e-06	-4.310311e-03	1.885211e+00
3.580000e-06	-4.028861e-03	1.781848e+00
3.590000e-06	-3.953322e-03	1.704162e+00
3.600000e-06	-3.468693e-03	1.602003e+00
3.610000e-06	-4.090673e-03	1.484185e+00
3.620000e-06	-4.490214e-03	1.390527e+00
3.630000e-06	-3.498392e-03	1.297215e+00
3.640000e-06	-2.875669e-03	1.180953e+00
3.650000e-06	-4.220614e-03	1.085760e+00
3.660000e-06	-3.762973e-03	1.011348e+00
3.670000e-06	-2.558497e-03	8.320843e-01
3.680000e-06	-2.485199e-03	7.494237e-01
3.690000e-06	-3.270104e-03	6.846909e-01
3.700000e-06	-3.853958e-03	5.704501e-01
3.710000e-06	-3.002007e-03	5.077197e-01
3.720000e-06	-3.077142e-03	4.119802e-01
3.730000e-06	-2.964778e-03	3.898949e-01
3.740000e-06	-3.020036e-03	2.234778e-01
3.750000e-06	-3.180136e-03	1.651921e-01
3.760000e-06	-2.714852e-03	1.300389e-02
3.770000e-06	1.476914e-05	-6.160645e-02
3.780000e-06	6.245152e-04	-1.778881e-01
3.790000e-06	6.684178e-04	-2.106237e-01
3.800000e-06	-3.862845e-04	-3.058132e-01
3.810000e-06	-1.039803e-03	-3.679711e-01
3.820000e-06	-1.463746e-03	-4.601314e-01
3.830000e-06	8.307743e-05	-5.563657e-01
3.840000e-06	8.719299e-03	-6.602390e-01
3.850000e-06	4.189234e-02	-7.784735e-01
3.860000e-06	3.114527e-02	-9.127815e-01
3.870000e-06	-3.646704e-02	-1.069156e+00
3.880000e-06	-9.440772e-02	-1.164943e+00
3.890000e-06	-2.085170e-02	-1.210024e+00
3.900000e-06	1.135945e-01	-1.209372e+00
3.910000e-06	1.748896e-02	-1.325013e+00
3.920000e-06	-6.386969e-02	-1.554466e+00
3.930000e-06	5.416222e-03	-1.589999e+00
3.940000e-06	-2.321768e-02	-1.619599e+00
3.950000e-06	-1.807801e-02	-1.765043e+00
3.960000e-06	1.441801e-01	-1.902680e+00
3.970000e-06	9.516441e-03	-1.905317e+00
3.980000e-06	-1.147917e-01	-1.957522e+00
3.990000e-06	6.962489e-02	-2.051236e+00
4.000000e-06	7.422251e-02	-2.228148e+00
4.010000e-06	-9.907733e-02	-2.367395e+00
4.020000e-06	-3.172712e-02	-2.409525e+00
4.030000e-06	4.452218e-02	-2.482759e+00
4.040000e-06	9.712366e-03	-2.608076e+00
4.050000e-06	3.100060e-02	-2.652657e+00
