# Configuracion:
# Concentracion g/m^3_=_12600.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_301668.91188136244
# 
Resultados:
# tau_ns_=_(6.32+/-0.20)e+01
# dphi_rad_=_6.40+/-0.00
# SAR_W/g_=_50.45+/-1.90
# Hc_kA/m_=_4.49+/-0.09
# Mr_A/m_=_24.72+/-0.73
# Magnetizacion_max_emu/g_=_11.78+/-0.24
# Suceptibilidad_a_M=0_=_(5.738+/-0.122)e-03

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_075dA_100Mss_bobN1NF0008.txt		20.00	26.08	4.52	29169.25	155.74	3.017241e+05	1.083263e+01	6.403835e+00	53.59	63.963262	4640	6.022e-03
300kHz_075dA_100Mss_bobN1NF0009.txt		20.00	24.63	4.32	29169.25	154.52	3.017241e+05	1.071961e+01	6.396560e+00	49.85	60.071545	4640	5.940e-03
300kHz_075dA_100Mss_bobN1NF0010.txt		20.00	25.33	4.53	29169.25	150.77	3.016591e+05	1.050273e+01	6.404394e+00	52.19	64.261304	4641	5.886e-03
300kHz_075dA_100Mss_bobN1NF0011.txt		20.00	25.42	4.54	29169.25	152.28	3.016591e+05	1.059517e+01	6.405704e+00	53.22	64.964134	4641	5.812e-03
300kHz_075dA_100Mss_bobN1NF0012.txt		20.00	24.62	4.42	29169.25	150.01	3.016591e+05	1.041551e+01	6.399943e+00	49.86	61.880601	4641	5.769e-03
300kHz_075dA_100Mss_bobN1NF0013.txt		20.00	26.64	4.69	29169.25	150.49	3.017241e+05	1.051120e+01	6.411075e+00	55.11	67.842298	4640	5.958e-03
300kHz_075dA_100Mss_bobN1NF0014.txt		20.00	25.56	4.53	29169.25	151.27	3.016591e+05	1.052296e+01	6.404054e+00	52.14	64.080914	4641	5.882e-03
300kHz_075dA_100Mss_bobN1NF0015.txt		20.00	24.44	4.40	29169.25	151.11	3.017241e+05	1.049083e+01	6.397093e+00	49.02	60.357595	4640	5.781e-03
300kHz_075dA_100Mss_bobN1NF0016.txt		20.00	24.55	4.44	29169.25	150.71	3.016591e+05	1.045652e+01	6.401207e+00	50.60	62.556954	4641	5.733e-03
300kHz_075dA_100Mss_bobN1NF0017.txt		20.00	24.58	4.49	29169.25	148.80	3.017241e+05	1.033770e+01	6.403314e+00	50.93	63.684546	4640	5.739e-03
300kHz_075dA_100Mss_bobN1NF0018.txt		20.00	25.10	4.54	29169.25	149.27	3.017241e+05	1.036313e+01	6.405410e+00	51.94	64.806661	4640	5.784e-03
300kHz_075dA_100Mss_bobN1NF0019.txt		20.00	24.59	4.53	29169.25	147.22	3.016591e+05	1.027687e+01	6.403292e+00	50.61	63.673166	4641	5.692e-03
300kHz_075dA_100Mss_bobN1NF0020.txt		20.00	25.27	4.58	29169.25	147.45	3.016591e+05	1.028912e+01	6.405087e+00	51.42	64.634041	4641	5.755e-03
300kHz_075dA_100Mss_bobN1NF0021.txt		20.00	23.61	4.30	29169.25	148.47	3.016591e+05	1.029396e+01	6.397513e+00	48.26	60.581567	4641	5.691e-03
300kHz_075dA_100Mss_bobN1NF0022.txt		20.00	23.88	4.42	29169.25	146.69	3.016591e+05	1.018243e+01	6.399498e+00	48.56	61.642235	4641	5.613e-03
300kHz_075dA_100Mss_bobN1NF0023.txt		20.00	24.88	4.53	29169.25	146.84	3.016591e+05	1.021128e+01	6.402755e+00	50.06	63.385707	4641	5.763e-03
300kHz_075dA_100Mss_bobN1NF0024.txt		20.00	24.55	4.54	29169.25	146.39	3.016591e+05	1.018833e+01	6.402712e+00	49.93	63.362820	4641	5.684e-03
300kHz_075dA_100Mss_bobN1NF0025.txt		20.00	24.37	4.48	29169.25	147.29	3.016591e+05	1.024584e+01	6.399979e+00	49.07	61.901169	4641	5.610e-03
300kHz_075dA_100Mss_bobN1NF0026.txt		20.00	24.80	4.55	29169.25	145.39	3.016591e+05	1.013146e+01	6.404053e+00	50.20	64.081071	4641	5.697e-03
300kHz_075dA_100Mss_bobN1NF0027.txt		20.00	24.99	4.66	29169.25	144.03	3.017241e+05	1.006724e+01	6.408520e+00	51.73	66.472691	4640	5.617e-03
300kHz_075dA_100Mss_bobN1NF0028.txt		20.00	24.74	4.56	29169.25	145.60	3.016591e+05	1.014007e+01	6.406093e+00	51.09	65.172919	4641	5.624e-03
300kHz_075dA_100Mss_bobN1NF0029.txt		20.00	23.60	4.42	29169.25	145.01	3.016591e+05	1.008460e+01	6.398342e+00	47.62	61.025145	4641	5.553e-03
300kHz_075dA_100Mss_bobN1NF0030.txt		20.00	24.22	4.51	29169.25	144.24	3.016591e+05	9.999333e+00	6.401169e+00	48.37	62.537217	4641	5.627e-03
300kHz_075dA_100Mss_bobN1NF0031.txt		20.00	24.00	4.47	29169.25	145.96	3.016591e+05	1.013527e+01	6.400787e+00	48.87	62.333301	4641	5.605e-03
300kHz_075dA_100Mss_bobN1NF0032.txt		20.00	23.58	4.35	29169.25	146.27	3.017241e+05	1.014796e+01	6.396343e+00	47.10	59.956367	4640	5.605e-03
