# Temperatura_=_20.0
# Concentracion g/m^3_=_12600.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302343.97542513825
# Promedio de 27 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.240749e-09	-1.444227e-08	-5.693504e+01	-9.459765e+02
1.000000e-08	-8.237620e-09	-1.443959e-08	-5.691341e+01	-9.456314e+02
2.000000e-08	-8.231803e-09	-1.443103e-08	-5.687322e+01	-9.451590e+02
3.000000e-08	-8.223288e-09	-1.442202e-08	-5.681439e+01	-9.445764e+02
4.000000e-08	-8.211857e-09	-1.441420e-08	-5.673541e+01	-9.439002e+02
5.000000e-08	-8.197454e-09	-1.440475e-08	-5.663589e+01	-9.431447e+02
6.000000e-08	-8.180198e-09	-1.438954e-08	-5.651667e+01	-9.423200e+02
7.000000e-08	-8.160431e-09	-1.436812e-08	-5.638010e+01	-9.414317e+02
8.000000e-08	-8.138116e-09	-1.437400e-08	-5.622591e+01	-9.404814e+02
9.000000e-08	-8.112671e-09	-1.438781e-08	-5.605011e+01	-9.394665e+02
1.000000e-07	-8.083952e-09	-1.435940e-08	-5.585169e+01	-9.383825e+02
1.100000e-07	-8.052175e-09	-1.431353e-08	-5.563214e+01	-9.372237e+02
1.200000e-07	-8.017422e-09	-1.428336e-08	-5.539203e+01	-9.359844e+02
1.300000e-07	-7.980015e-09	-1.425613e-08	-5.513358e+01	-9.346602e+02
1.400000e-07	-7.940442e-09	-1.421160e-08	-5.486017e+01	-9.332475e+02
1.500000e-07	-7.898537e-09	-1.422514e-08	-5.457064e+01	-9.317438e+02
1.600000e-07	-7.853829e-09	-1.421566e-08	-5.426176e+01	-9.301461e+02
1.700000e-07	-7.806343e-09	-1.413278e-08	-5.393368e+01	-9.284503e+02
1.800000e-07	-7.755866e-09	-1.413255e-08	-5.358493e+01	-9.266497e+02
1.900000e-07	-7.702232e-09	-1.411974e-08	-5.321437e+01	-9.247342e+02
2.000000e-07	-7.645752e-09	-1.407176e-08	-5.282415e+01	-9.226899e+02
2.100000e-07	-7.586497e-09	-1.403245e-08	-5.241475e+01	-9.204998e+02
2.200000e-07	-7.524547e-09	-1.398500e-08	-5.198673e+01	-9.181448e+02
2.300000e-07	-7.459880e-09	-1.395327e-08	-5.153995e+01	-9.156057e+02
2.400000e-07	-7.392354e-09	-1.389955e-08	-5.107341e+01	-9.128652e+02
2.500000e-07	-7.322027e-09	-1.386536e-08	-5.058752e+01	-9.099103e+02
2.600000e-07	-7.248827e-09	-1.382323e-08	-5.008178e+01	-9.067341e+02
2.700000e-07	-7.172730e-09	-1.375884e-08	-4.955602e+01	-9.033371e+02
2.800000e-07	-7.093789e-09	-1.369559e-08	-4.901062e+01	-8.997268e+02
2.900000e-07	-7.012138e-09	-1.364770e-08	-4.844650e+01	-8.959175e+02
3.000000e-07	-6.928059e-09	-1.361097e-08	-4.786559e+01	-8.919276e+02
3.100000e-07	-6.841565e-09	-1.353127e-08	-4.726800e+01	-8.877771e+02
3.200000e-07	-6.752574e-09	-1.345259e-08	-4.665316e+01	-8.834843e+02
3.300000e-07	-6.661140e-09	-1.339644e-08	-4.602145e+01	-8.790629e+02
3.400000e-07	-6.567359e-09	-1.334020e-08	-4.537351e+01	-8.745191e+02
3.500000e-07	-6.471200e-09	-1.326469e-08	-4.470915e+01	-8.698504e+02
3.600000e-07	-6.372630e-09	-1.318285e-08	-4.402813e+01	-8.650454e+02
3.700000e-07	-6.271765e-09	-1.310703e-08	-4.333125e+01	-8.600846e+02
3.800000e-07	-6.168641e-09	-1.302184e-08	-4.261877e+01	-8.549430e+02
3.900000e-07	-6.063296e-09	-1.294407e-08	-4.189094e+01	-8.495933e+02
4.000000e-07	-5.955836e-09	-1.286892e-08	-4.114850e+01	-8.440095e+02
4.100000e-07	-5.846321e-09	-1.277563e-08	-4.039186e+01	-8.381700e+02
4.200000e-07	-5.734692e-09	-1.266380e-08	-3.962061e+01	-8.320610e+02
4.300000e-07	-5.620854e-09	-1.256943e-08	-3.883412e+01	-8.256770e+02
4.400000e-07	-5.504830e-09	-1.248883e-08	-3.803251e+01	-8.190214e+02
4.500000e-07	-5.386783e-09	-1.238931e-08	-3.721692e+01	-8.121046e+02
4.600000e-07	-5.266809e-09	-1.226915e-08	-3.638802e+01	-8.049411e+02
4.700000e-07	-5.144918e-09	-1.215337e-08	-3.554588e+01	-7.975457e+02
4.800000e-07	-5.021170e-09	-1.204876e-08	-3.469091e+01	-7.899299e+02
4.900000e-07	-4.895687e-09	-1.193583e-08	-3.382395e+01	-7.820974e+02
5.000000e-07	-4.768490e-09	-1.181174e-08	-3.294514e+01	-7.740423e+02
5.100000e-07	-4.639497e-09	-1.167767e-08	-3.205394e+01	-7.657476e+02
5.200000e-07	-4.508717e-09	-1.153821e-08	-3.115038e+01	-7.571860e+02
5.300000e-07	-4.376247e-09	-1.140130e-08	-3.023515e+01	-7.483220e+02
5.400000e-07	-4.242237e-09	-1.126694e-08	-2.930927e+01	-7.391160e+02
5.500000e-07	-4.106657e-09	-1.111920e-08	-2.837255e+01	-7.295286e+02
5.600000e-07	-3.969444e-09	-1.095649e-08	-2.742455e+01	-7.195253e+02
5.700000e-07	-3.830647e-09	-1.079219e-08	-2.646561e+01	-7.090805e+02
5.800000e-07	-3.690254e-09	-1.063412e-08	-2.549564e+01	-6.981799e+02
5.900000e-07	-3.548319e-09	-1.047304e-08	-2.451502e+01	-6.868214e+02
6.000000e-07	-3.404996e-09	-1.029403e-08	-2.352481e+01	-6.750133e+02
6.100000e-07	-3.260407e-09	-1.010099e-08	-2.252584e+01	-6.627712e+02
6.200000e-07	-3.114615e-09	-9.907054e-09	-2.151857e+01	-6.501132e+02
6.300000e-07	-2.967692e-09	-9.716407e-09	-2.050347e+01	-6.370537e+02
6.400000e-07	-2.819764e-09	-9.516058e-09	-1.948144e+01	-6.235987e+02
6.500000e-07	-2.670909e-09	-9.298497e-09	-1.845300e+01	-6.097405e+02
6.600000e-07	-2.521179e-09	-9.070626e-09	-1.741852e+01	-5.954559e+02
6.700000e-07	-2.370608e-09	-8.841735e-09	-1.637823e+01	-5.807057e+02
6.800000e-07	-2.219189e-09	-8.610446e-09	-1.533209e+01	-5.654371e+02
6.900000e-07	-2.066952e-09	-8.368430e-09	-1.428029e+01	-5.495888e+02
7.000000e-07	-1.913955e-09	-8.110501e-09	-1.322324e+01	-5.330970e+02
7.100000e-07	-1.760275e-09	-7.839112e-09	-1.216147e+01	-5.159031e+02
7.200000e-07	-1.606021e-09	-7.565591e-09	-1.109573e+01	-4.979600e+02
7.300000e-07	-1.451290e-09	-7.290222e-09	-1.002671e+01	-4.792373e+02
7.400000e-07	-1.296099e-09	-6.999153e-09	-8.954498e+00	-4.597237e+02
7.500000e-07	-1.140413e-09	-6.686601e-09	-7.878866e+00	-4.394261e+02
7.600000e-07	-9.842973e-10	-6.362549e-09	-6.800269e+00	-4.183652e+02
7.700000e-07	-8.278419e-10	-6.035028e-09	-5.719320e+00	-3.965682e+02
7.800000e-07	-6.710675e-10	-5.699203e-09	-4.636167e+00	-3.740590e+02
7.900000e-07	-5.140579e-10	-5.344744e-09	-3.551389e+00	-3.508480e+02
8.000000e-07	-3.568868e-10	-4.971604e-09	-2.465494e+00	-3.269218e+02
8.100000e-07	-1.995369e-10	-4.587174e-09	-1.378364e+00	-3.022366e+02
8.200000e-07	-4.205355e-11	-4.194971e-09	-2.903112e-01	-2.767143e+02
8.300000e-07	1.154733e-10	-3.791603e-09	7.980416e-01	-2.502443e+02
8.400000e-07	2.729819e-10	-3.367628e-09	1.886268e+00	-2.226906e+02
8.500000e-07	4.304040e-10	-2.920638e-09	2.973897e+00	-1.939037e+02
8.600000e-07	5.876905e-10	-2.458133e-09	4.060589e+00	-1.637374e+02
8.700000e-07	7.448130e-10	-1.983583e-09	5.146148e+00	-1.320679e+02
8.800000e-07	9.017141e-10	-1.488726e-09	6.230177e+00	-9.881339e+01
8.900000e-07	1.058306e-09	-9.627673e-10	7.312068e+00	-6.395249e+01
9.000000e-07	1.214495e-09	-4.081468e-10	8.391173e+00	-2.753819e+01
9.100000e-07	1.370206e-09	1.656213e-10	9.466970e+00	1.029367e+01
9.200000e-07	1.525420e-09	7.557173e-10	1.053934e+01	4.932316e+01
9.300000e-07	1.680110e-09	1.365356e-09	1.160809e+01	8.925269e+01
9.400000e-07	1.834202e-09	1.992674e-09	1.267270e+01	1.297207e+02
9.500000e-07	1.987589e-09	2.624340e-09	1.373244e+01	1.703217e+02
9.600000e-07	2.140189e-09	3.243036e-09	1.478675e+01	2.106306e+02
9.700000e-07	2.291966e-09	3.841929e-09	1.583536e+01	2.502287e+02
9.800000e-07	2.442870e-09	4.423531e-09	1.687795e+01	2.887295e+02
9.900000e-07	2.592834e-09	4.985800e-09	1.791404e+01	3.258013e+02
1.000000e-06	2.741802e-09	5.520192e-09	1.894325e+01	3.611840e+02
1.010000e-06	2.889722e-09	6.020846e-09	1.996523e+01	3.947002e+02
1.020000e-06	3.036578e-09	6.489820e-09	2.097985e+01	4.262576e+02
1.030000e-06	3.182330e-09	6.933239e-09	2.198685e+01	4.558450e+02
1.040000e-06	3.326909e-09	7.355509e-09	2.298574e+01	4.835212e+02
1.050000e-06	3.470254e-09	7.752720e-09	2.397610e+01	5.094000e+02
1.060000e-06	3.612272e-09	8.122679e-09	2.495729e+01	5.336313e+02
1.070000e-06	3.752906e-09	8.468002e-09	2.592892e+01	5.563819e+02
1.080000e-06	3.892126e-09	8.798115e-09	2.689079e+01	5.778187e+02
1.090000e-06	4.029880e-09	9.115167e-09	2.784252e+01	5.980935e+02
1.100000e-06	4.166116e-09	9.412932e-09	2.878376e+01	6.173337e+02
1.110000e-06	4.300819e-09	9.689831e-09	2.971442e+01	6.356371e+02
1.120000e-06	4.434005e-09	9.950532e-09	3.063459e+01	6.530717e+02
1.130000e-06	4.565637e-09	1.020051e-08	3.154403e+01	6.696796e+02
1.140000e-06	4.695672e-09	1.044056e-08	3.244243e+01	6.854841e+02
1.150000e-06	4.824079e-09	1.066702e-08	3.332960e+01	7.004980e+02
1.160000e-06	4.950797e-09	1.087851e-08	3.420508e+01	7.147317e+02
1.170000e-06	5.075829e-09	1.107748e-08	3.506892e+01	7.282005e+02
1.180000e-06	5.199123e-09	1.126888e-08	3.592075e+01	7.409295e+02
1.190000e-06	5.320567e-09	1.145431e-08	3.675980e+01	7.529551e+02
1.200000e-06	5.440079e-09	1.162876e-08	3.758550e+01	7.643253e+02
1.210000e-06	5.557563e-09	1.179196e-08	3.839719e+01	7.750954e+02
1.220000e-06	5.672899e-09	1.194847e-08	3.919404e+01	7.853241e+02
1.230000e-06	5.786002e-09	1.210252e-08	3.997545e+01	7.950678e+02
1.240000e-06	5.896916e-09	1.225194e-08	4.074175e+01	8.043757e+02
1.250000e-06	6.005745e-09	1.239123e-08	4.149364e+01	8.132859e+02
1.260000e-06	6.112452e-09	1.251970e-08	4.223088e+01	8.218232e+02
1.270000e-06	6.216899e-09	1.264413e-08	4.295250e+01	8.299996e+02
1.280000e-06	6.319050e-09	1.276580e-08	4.365825e+01	8.378161e+02
1.290000e-06	6.418871e-09	1.287983e-08	4.434790e+01	8.452664e+02
1.300000e-06	6.516267e-09	1.298285e-08	4.502080e+01	8.523413e+02
1.310000e-06	6.611245e-09	1.307935e-08	4.567700e+01	8.590337e+02
1.320000e-06	6.703914e-09	1.317426e-08	4.631725e+01	8.653425e+02
1.330000e-06	6.794238e-09	1.326693e-08	4.694128e+01	8.712752e+02
1.340000e-06	6.882104e-09	1.335416e-08	4.754834e+01	8.768491e+02
1.350000e-06	6.967559e-09	1.343358e-08	4.813875e+01	8.820906e+02
1.360000e-06	7.050586e-09	1.350759e-08	4.871237e+01	8.870327e+02
1.370000e-06	7.131051e-09	1.358004e-08	4.926830e+01	8.917113e+02
1.380000e-06	7.208923e-09	1.365046e-08	4.980631e+01	8.961615e+02
1.390000e-06	7.284124e-09	1.371629e-08	5.032587e+01	9.004132e+02
1.400000e-06	7.356583e-09	1.377639e-08	5.082648e+01	9.044882e+02
1.410000e-06	7.426431e-09	1.383366e-08	5.130905e+01	9.083980e+02
1.420000e-06	7.493687e-09	1.389138e-08	5.177372e+01	9.121437e+02
1.430000e-06	7.558233e-09	1.394684e-08	5.221966e+01	9.157171e+02
1.440000e-06	7.620161e-09	1.399732e-08	5.264751e+01	9.191035e+02
1.450000e-06	7.679525e-09	1.404270e-08	5.305765e+01	9.222848e+02
1.460000e-06	7.736171e-09	1.408590e-08	5.344902e+01	9.252438e+02
1.470000e-06	7.789972e-09	1.412827e-08	5.382072e+01	9.279674e+02
1.480000e-06	7.840663e-09	1.416758e-08	5.417093e+01	9.304495e+02
1.490000e-06	7.888213e-09	1.420183e-08	5.449945e+01	9.326926e+02
1.500000e-06	7.932948e-09	1.423150e-08	5.480852e+01	9.347076e+02
1.510000e-06	7.974881e-09	1.425894e-08	5.509822e+01	9.365127e+02
1.520000e-06	8.013921e-09	1.428501e-08	5.536794e+01	9.381308e+02
1.530000e-06	8.050179e-09	1.430918e-08	5.561845e+01	9.395865e+02
1.540000e-06	8.083583e-09	1.432944e-08	5.584923e+01	9.409032e+02
1.550000e-06	8.114089e-09	1.434610e-08	5.605999e+01	9.420993e+02
1.560000e-06	8.141778e-09	1.436311e-08	5.625128e+01	9.431869e+02
1.570000e-06	8.166475e-09	1.438018e-08	5.642191e+01	9.441705e+02
1.580000e-06	8.188212e-09	1.439374e-08	5.657209e+01	9.450473e+02
1.590000e-06	8.207098e-09	1.440292e-08	5.670257e+01	9.458085e+02
1.600000e-06	8.222980e-09	1.440934e-08	5.681229e+01	9.464416e+02
1.610000e-06	8.235747e-09	1.441575e-08	5.690049e+01	9.469334e+02
1.620000e-06	8.245313e-09	1.442090e-08	5.696658e+01	9.472720e+02
1.630000e-06	8.251812e-09	1.442301e-08	5.701147e+01	9.474501e+02
1.640000e-06	8.255449e-09	1.442207e-08	5.703659e+01	9.474657e+02
1.650000e-06	8.256160e-09	1.442105e-08	5.704150e+01	9.473231e+02
1.660000e-06	8.254055e-09	1.441735e-08	5.702696e+01	9.470322e+02
1.670000e-06	8.249240e-09	1.441223e-08	5.699369e+01	9.466075e+02
1.680000e-06	8.241642e-09	1.440608e-08	5.694119e+01	9.460658e+02
1.690000e-06	8.231296e-09	1.439729e-08	5.686970e+01	9.454243e+02
1.700000e-06	8.218063e-09	1.438926e-08	5.677827e+01	9.446982e+02
1.710000e-06	8.202012e-09	1.438467e-08	5.666737e+01	9.438994e+02
1.720000e-06	8.183521e-09	1.438170e-08	5.653961e+01	9.430355e+02
1.730000e-06	8.162517e-09	1.433558e-08	5.639449e+01	9.421093e+02
