# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135484.14987120367

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.800081e-06	-1.524728e-09	-5.690828e+01	-1.043342e+02
1.000000e-08	-7.800304e-06	-1.522658e-09	-5.690991e+01	-1.042974e+02
2.000000e-08	-7.800198e-06	-1.522389e-09	-5.690913e+01	-1.042336e+02
3.000000e-08	-7.799537e-06	-1.523743e-09	-5.690431e+01	-1.041413e+02
4.000000e-08	-7.798189e-06	-1.526186e-09	-5.689448e+01	-1.040191e+02
5.000000e-08	-7.796088e-06	-1.525080e-09	-5.687915e+01	-1.038656e+02
6.000000e-08	-7.793154e-06	-1.523210e-09	-5.685774e+01	-1.036800e+02
7.000000e-08	-7.789619e-06	-1.523375e-09	-5.683195e+01	-1.034612e+02
8.000000e-08	-7.785737e-06	-1.518106e-09	-5.680363e+01	-1.032086e+02
9.000000e-08	-7.781503e-06	-1.500375e-09	-5.677274e+01	-1.029217e+02
1.000000e-07	-7.776745e-06	-1.510030e-09	-5.673802e+01	-1.026002e+02
1.100000e-07	-7.771200e-06	-1.579564e-09	-5.669757e+01	-1.022441e+02
1.200000e-07	-7.764709e-06	-1.623608e-09	-5.665021e+01	-1.018535e+02
1.300000e-07	-7.757415e-06	-1.535031e-09	-5.659699e+01	-1.014288e+02
1.400000e-07	-7.749708e-06	-1.332870e-09	-5.654077e+01	-1.009706e+02
1.500000e-07	-7.741847e-06	-1.353665e-09	-5.648341e+01	-1.004798e+02
1.600000e-07	-7.733774e-06	-1.640655e-09	-5.642452e+01	-9.995746e+01
1.700000e-07	-7.725237e-06	-1.685680e-09	-5.636223e+01	-9.940486e+01
1.800000e-07	-7.716071e-06	-1.418954e-09	-5.629535e+01	-9.882348e+01
1.900000e-07	-7.706214e-06	-1.369576e-09	-5.622344e+01	-9.821504e+01
2.000000e-07	-7.695379e-06	-1.538961e-09	-5.614439e+01	-9.758141e+01
2.100000e-07	-7.683753e-06	-1.674239e-09	-5.605957e+01	-9.692464e+01
2.200000e-07	-7.671784e-06	-1.669002e-09	-5.597225e+01	-9.624696e+01
2.300000e-07	-7.659182e-06	-1.499207e-09	-5.588031e+01	-9.555073e+01
2.400000e-07	-7.645820e-06	-1.344830e-09	-5.578281e+01	-9.483843e+01
2.500000e-07	-7.632099e-06	-1.487370e-09	-5.568271e+01	-9.411265e+01
2.600000e-07	-7.617904e-06	-1.690761e-09	-5.557915e+01	-9.337608e+01
2.700000e-07	-7.602590e-06	-1.467117e-09	-5.546741e+01	-9.263146e+01
2.800000e-07	-7.586291e-06	-1.189834e-09	-5.534850e+01	-9.188157e+01
2.900000e-07	-7.569589e-06	-1.362791e-09	-5.522664e+01	-9.112922e+01
3.000000e-07	-7.552386e-06	-1.539916e-09	-5.510114e+01	-9.037722e+01
3.100000e-07	-7.534659e-06	-1.268148e-09	-5.497180e+01	-8.962836e+01
3.200000e-07	-7.516592e-06	-1.065011e-09	-5.483999e+01	-8.888537e+01
3.300000e-07	-7.498012e-06	-1.252559e-09	-5.470443e+01	-8.815092e+01
3.400000e-07	-7.478786e-06	-1.350773e-09	-5.456416e+01	-8.742761e+01
3.500000e-07	-7.459110e-06	-1.243151e-09	-5.442060e+01	-8.671789e+01
3.600000e-07	-7.439166e-06	-1.251562e-09	-5.427509e+01	-8.602413e+01
3.700000e-07	-7.418853e-06	-1.173272e-09	-5.412689e+01	-8.534852e+01
3.800000e-07	-7.398023e-06	-1.115936e-09	-5.397492e+01	-8.469309e+01
3.900000e-07	-7.376727e-06	-1.316719e-09	-5.381955e+01	-8.405971e+01
4.000000e-07	-7.354935e-06	-1.389163e-09	-5.366056e+01	-8.345004e+01
4.100000e-07	-7.332492e-06	-1.121468e-09	-5.349682e+01	-8.286555e+01
4.200000e-07	-7.309465e-06	-1.065209e-09	-5.332882e+01	-8.230749e+01
4.300000e-07	-7.286002e-06	-1.355712e-09	-5.315764e+01	-8.177688e+01
4.400000e-07	-7.262129e-06	-1.408900e-09	-5.298346e+01	-8.127452e+01
4.500000e-07	-7.237791e-06	-1.104774e-09	-5.280589e+01	-8.080099e+01
4.600000e-07	-7.213010e-06	-1.059501e-09	-5.262509e+01	-8.035661e+01
4.700000e-07	-7.187771e-06	-1.335827e-09	-5.244096e+01	-7.994149e+01
4.800000e-07	-7.161782e-06	-1.336582e-09	-5.225134e+01	-7.955551e+01
