# 260205_15:39:04.731917
t	CH1	CH2
0.000000e+00	-1.041452e-03	-4.674337e+00
1.000000e-08	5.469739e-03	-4.676842e+00
2.000000e-08	-6.185143e-03	-4.705978e+00
3.000000e-08	9.171232e-04	-4.810028e+00
4.000000e-08	3.705088e-03	-4.851658e+00
5.000000e-08	4.066055e-03	-4.895814e+00
6.000000e-08	-6.773104e-03	-4.926394e+00
7.000000e-08	-6.896622e-04	-4.978577e+00
8.000000e-08	5.197238e-03	-5.019078e+00
9.000000e-08	2.105719e-03	-5.052637e+00
1.000000e-07	-2.480530e-03	-5.112761e+00
1.100000e-07	2.963987e-04	-5.115290e+00
1.200000e-07	3.590293e-03	-5.137518e+00
1.300000e-07	4.727195e-04	-5.200078e+00
1.400000e-07	1.330902e-03	-5.241677e+00
1.500000e-07	-1.187203e-03	-5.213362e+00
1.600000e-07	1.513754e-03	-5.304845e+00
1.700000e-07	-5.710864e-04	-5.369071e+00
1.800000e-07	2.663647e-03	-5.379629e+00
1.900000e-07	-9.858105e-04	-5.464763e+00
2.000000e-07	-2.700044e-04	-5.492811e+00
2.100000e-07	-3.599550e-04	-5.514443e+00
2.200000e-07	4.005568e-03	-5.556477e+00
2.300000e-07	-1.536817e-04	-5.579099e+00
2.400000e-07	-1.313890e-04	-5.619530e+00
2.500000e-07	3.700647e-04	-5.651206e+00
2.600000e-07	1.418981e-03	-5.632684e+00
2.700000e-07	6.038314e-04	-5.702341e+00
2.800000e-07	-3.183779e-03	-5.704841e+00
2.900000e-07	4.028102e-03	-5.767498e+00
3.000000e-07	1.768735e-03	-5.718974e+00
3.100000e-07	2.066029e-03	-5.838577e+00
3.200000e-07	4.103653e-06	-5.841733e+00
3.300000e-07	2.866751e-04	-5.853657e+00
3.400000e-07	6.721182e-04	-5.872261e+00
3.500000e-07	5.922815e-04	-5.893841e+00
3.600000e-07	-1.926574e-04	-5.906790e+00
3.700000e-07	-7.996988e-04	-5.955371e+00
3.800000e-07	9.246035e-04	-5.956998e+00
3.900000e-07	3.287122e-03	-5.939522e+00
4.000000e-07	2.459730e-03	-5.998978e+00
4.100000e-07	-7.451313e-04	-6.050058e+00
4.200000e-07	1.004963e-03	-6.022333e+00
4.300000e-07	6.055947e-04	-6.062737e+00
4.400000e-07	1.087666e-03	-6.083918e+00
4.500000e-07	-1.673168e-03	-6.103817e+00
4.600000e-07	5.965173e-05	-6.137496e+00
4.700000e-07	1.004116e-03	-6.118522e+00
4.800000e-07	1.541731e-03	-6.157100e+00
4.900000e-07	-7.146045e-04	-6.179728e+00
5.000000e-07	3.148441e-03	-6.191157e+00
5.100000e-07	7.626905e-04	-6.230836e+00
5.200000e-07	1.966608e-03	-6.220761e+00
5.300000e-07	-1.212431e-03	-6.302317e+00
5.400000e-07	2.416691e-03	-6.365866e+00
5.500000e-07	-5.118957e-04	-6.326947e+00
5.600000e-07	1.550369e-03	-6.356499e+00
5.700000e-07	-1.504197e-04	-6.388545e+00
5.800000e-07	1.294705e-03	-6.409129e+00
5.900000e-07	6.340207e-04	-6.411078e+00
6.000000e-07	1.231552e-03	-6.420204e+00
6.100000e-07	1.758459e-03	-6.410607e+00
6.200000e-07	1.141483e-03	-6.462132e+00
6.300000e-07	-4.578188e-04	-6.452314e+00
6.400000e-07	1.373607e-03	-6.453282e+00
6.500000e-07	1.433896e-03	-6.443734e+00
6.600000e-07	1.021760e-03	-6.483266e+00
6.700000e-07	6.054435e-04	-6.504866e+00
6.800000e-07	-1.585023e-04	-6.483791e+00
6.900000e-07	7.595177e-04	-6.536341e+00
7.000000e-07	6.448006e-04	-6.504362e+00
7.100000e-07	1.589017e-03	-6.527870e+00
7.200000e-07	-5.534634e-04	-6.516492e+00
7.300000e-07	1.819592e-03	-6.527021e+00
7.400000e-07	3.328682e-04	-6.546976e+00
7.500000e-07	3.021327e-03	-6.566525e+00
7.600000e-07	2.792716e-04	-6.558448e+00
7.700000e-07	1.135664e-03	-6.557546e+00
7.800000e-07	-2.044482e-04	-6.577550e+00
7.900000e-07	2.243359e-03	-6.579077e+00
8.000000e-07	1.388961e-04	-6.598625e+00
8.100000e-07	8.245488e-04	-6.587029e+00
8.200000e-07	1.000280e-03	-6.578626e+00
